Location Id,Airbnb_Listings,Long_Term_Rental_Properties,Total_Properties,Airbnb_Percentage
327000.0,402,417,819,49.08424908424908
327100.0,312,117,429,72.72727272727273
325800.0,220,357,577,38.128249566724435
326600.0,153,21,174,87.93103448275862
325700.0,142,153,295,48.13559322033898
323000.0,79,189,268,29.47761194029851
332700.0,79,72,151,52.317880794701985
324800.0,62,237,299,20.735785953177256
323900.0,61,210,271,22.509225092250922
330200.0,54,138,192,28.125
322700.0,49,183,232,21.120689655172413
324400.0,48,294,342,14.035087719298245
332000.0,45,54,99,45.45454545454545
326100.0,43,234,277,15.523465703971121
318300.0,42,81,123,34.146341463414636
328900.0,38,252,290,13.10344827586207
332400.0,36,24,60,60.0
332100.0,36,45,81,44.44444444444444
323800.0,36,162,198,18.181818181818183
323300.0,33,363,396,8.333333333333332
331300.0,33,39,72,45.83333333333333
326800.0,32,213,245,13.061224489795919
325200.0,30,81,111,27.027027027027028
323200.0,30,75,105,28.57142857142857
322200.0,27,102,129,20.930232558139537
328100.0,25,27,52,48.07692307692308
329100.0,25,138,163,15.337423312883436
327600.0,24,240,264,9.090909090909092
331700.0,24,51,75,32.0
325900.0,24,69,93,25.806451612903224
330300.0,24,39,63,38.095238095238095
327400.0,23,216,239,9.623430962343097
329400.0,23,153,176,13.068181818181818
327200.0,22,57,79,27.848101265822784
322400.0,22,60,82,26.82926829268293
322900.0,22,57,79,27.848101265822784
331200.0,21,21,42,50.0
322100.0,21,108,129,16.27906976744186
329700.0,20,132,152,13.157894736842104
326400.0,20,21,41,48.78048780487805
330000.0,19,18,37,51.35135135135135
329600.0,19,108,127,14.960629921259844
320600.0,19,72,91,20.87912087912088
320200.0,19,210,229,8.296943231441048
317800.0,19,51,70,27.142857142857142
322600.0,18,33,51,35.294117647058826
319200.0,18,93,111,16.216216216216218
326900.0,18,162,180,10.0
329900.0,17,168,185,9.18918918918919
328500.0,17,141,158,10.759493670886076
318700.0,17,18,35,48.57142857142857
316600.0,17,30,47,36.17021276595745
317000.0,16,6,22,72.72727272727273
331400.0,16,39,55,29.09090909090909
330600.0,16,36,52,30.76923076923077
321800.0,15,255,270,5.555555555555555
321400.0,15,78,93,16.129032258064516
331900.0,15,21,36,41.66666666666667
319500.0,14,66,80,17.5
323400.0,14,57,71,19.718309859154928
331100.0,14,54,68,20.588235294117645
316900.0,14,39,53,26.41509433962264
320800.0,13,60,73,17.80821917808219
323100.0,13,90,103,12.62135922330097
319300.0,13,57,70,18.571428571428573
321000.0,13,117,130,10.0
328700.0,12,69,81,14.814814814814813
325000.0,12,54,66,18.181818181818183
319700.0,12,78,90,13.333333333333334
319800.0,12,60,72,16.666666666666664
319900.0,12,102,114,10.526315789473683
320100.0,11,84,95,11.578947368421053
321500.0,11,39,50,22.0
318000.0,11,54,65,16.923076923076923
320700.0,10,186,196,5.1020408163265305
319600.0,10,57,67,14.925373134328357
326500.0,10,60,70,14.285714285714285
326000.0,10,6,16,62.5
316800.0,10,18,28,35.714285714285715
330100.0,10,102,112,8.928571428571429
324300.0,10,42,52,19.230769230769234
330800.0,10,57,67,14.925373134328357
329300.0,10,48,58,17.24137931034483
322500.0,9,27,36,25.0
329200.0,8,99,107,7.476635514018691
325400.0,8,33,41,19.51219512195122
320900.0,8,78,86,9.30232558139535
330500.0,8,54,62,12.903225806451612
317900.0,8,60,68,11.76470588235294
318600.0,8,27,35,22.857142857142858
327700.0,7,57,64,10.9375
328400.0,7,45,52,13.461538461538462
327800.0,6,30,36,16.666666666666664
318800.0,6,39,45,13.333333333333334
325100.0,6,54,60,10.0
323500.0,6,30,36,16.666666666666664
317400.0,6,30,36,16.666666666666664
324100.0,6,27,33,18.181818181818183
328300.0,6,51,57,10.526315789473683
328200.0,5,129,134,3.731343283582089
323600.0,5,33,38,13.157894736842104
322000.0,5,54,59,8.47457627118644
323700.0,5,18,23,21.73913043478261
319400.0,5,33,38,13.157894736842104
327500.0,5,21,26,19.230769230769234
324200.0,4,6,10,40.0
324600.0,4,42,46,8.695652173913043
329500.0,4,33,37,10.81081081081081
331000.0,4,12,16,25.0
318100.0,3,21,24,12.5
329800.0,3,15,18,16.666666666666664
319000.0,3,42,45,6.666666666666667
321200.0,3,135,138,2.1739130434782608
328800.0,3,33,36,8.333333333333332
317600.0,3,12,15,20.0
328600.0,3,36,39,7.6923076923076925
322800.0,3,24,27,11.11111111111111
330900.0,2,27,29,6.896551724137931
320300.0,2,60,62,3.225806451612903
321600.0,1,6,7,14.285714285714285
330400.0,1,27,28,3.571428571428571
322300.0,1,12,13,7.6923076923076925
231800.0,0,78,78,0.0
231400.0,0,132,132,0.0
247300.0,0,48,48,0.0
247800.0,0,63,63,0.0
247500.0,0,6,6,0.0
231500.0,0,63,63,0.0
231700.0,0,51,51,0.0
247600.0,0,54,54,0.0
231300.0,0,54,54,0.0
247400.0,0,69,69,0.0
247700.0,0,75,75,0.0
247200.0,0,39,39,0.0
231600.0,0,120,120,0.0
246900.0,0,63,63,0.0
247900.0,0,54,54,0.0
248000.0,0,30,30,0.0
250000.0,0,63,63,0.0
250100.0,0,75,75,0.0
250200.0,0,12,12,0.0
250300.0,0,114,114,0.0
250400.0,0,129,129,0.0
250500.0,0,57,57,0.0
250600.0,0,60,60,0.0
250700.0,0,132,132,0.0
250800.0,0,186,186,0.0
250900.0,0,336,336,0.0
251000.0,0,81,81,0.0
251100.0,0,132,132,0.0
251200.0,0,276,276,0.0
251300.0,0,96,96,0.0
251400.0,0,471,471,0.0
251500.0,0,81,81,0.0
251600.0,0,771,771,0.0
249900.0,0,60,60,0.0
249800.0,0,36,36,0.0
231100.0,0,21,21,0.0
232000.0,0,42,42,0.0
248100.0,0,96,96,0.0
248300.0,0,66,66,0.0
248400.0,0,81,81,0.0
248500.0,0,12,12,0.0
248600.0,0,87,87,0.0
248700.0,0,78,78,0.0
248800.0,0,57,57,0.0
249000.0,0,42,42,0.0
249700.0,0,117,117,0.0
249100.0,0,42,42,0.0
249200.0,0,69,69,0.0
231200.0,0,144,144,0.0
249300.0,0,30,30,0.0
249400.0,0,87,87,0.0
249500.0,0,93,93,0.0
249600.0,0,75,75,0.0
248900.0,0,153,153,0.0
232200.0,0,42,42,0.0
247100.0,0,66,66,0.0
241800.0,0,45,45,0.0
243300.0,0,12,12,0.0
243200.0,0,78,78,0.0
243000.0,0,12,12,0.0
242900.0,0,42,42,0.0
242800.0,0,27,27,0.0
242600.0,0,42,42,0.0
242500.0,0,57,57,0.0
242400.0,0,60,60,0.0
242200.0,0,60,60,0.0
242100.0,0,30,30,0.0
242000.0,0,81,81,0.0
241900.0,0,57,57,0.0
241700.0,0,45,45,0.0
243500.0,0,36,36,0.0
241600.0,0,39,39,0.0
241500.0,0,36,36,0.0
241400.0,0,60,60,0.0
241300.0,0,15,15,0.0
241100.0,0,6,6,0.0
241000.0,0,6,6,0.0
240900.0,0,18,18,0.0
