,data_type,total_rows,non_missing,missing,missing_percent
id,int64,28795,28795,0,0.0
name,object,28795,28795,0,0.0
host_id,float64,28795,28795,0,0.0
host_name,object,28795,28794,1,0.0
neighbourhood_group,object,28795,28795,0,0.0
neighbourhood,object,28795,28795,0,0.0
latitude,float64,28795,28795,0,0.0
longitude,float64,28795,28795,0,0.0
room_type,object,28795,28795,0,0.0
price,float64,28795,18128,10667,37.04
minimum_nights,float64,28795,28758,37,0.13
number_of_reviews,int64,28795,28795,0,0.0
last_review,object,28795,26168,2627,9.12
reviews_per_month,float64,28795,26168,2627,9.12
calculated_host_listings_count,float64,28795,28795,0,0.0
availability_365,int64,28795,28795,0,0.0
number_of_reviews_ltm,int64,28795,28795,0,0.0
license,float64,28795,0,28795,100.0
month_year,object,28795,28795,0,0.0
